name,rating,vicinity
阿里郎韓國小吃,3.7,文山區指南路二段31號
北雲餐廳,4.0,南港區研究院路二段39號
臺北市立天文科學教育館,4.5,士林區基河路363號
神旺大飯店 サンワンホテル台北,4.0,大安區忠孝東路四段172號
臺北國軍英雄館,3.9,中正區長沙街一段20號
石二鍋 台北興隆店,3.9,文山區興隆路四段149號
吃吃看TASTERS,4.1,士林區中山北路六段770號
MQ [ Marquee Taipei ],4.2,信義區信義路五段16-1號
麗山橋口步道,3.9,南港區
蕭記大餛飩,4.1,北投區裕民一路40巷21號
剝皮寮歷史街區,4.1,萬華區康定路173巷
Dancing Pig 豬跳舞小餐館（跳舞界的王者）,4.6,大安區光復南路290巷48號
藝奇 日本料理岩板燒 台北敦化北店,4.5,"B1, No. 207號, 敦化北路, 松山区"
滇味廚房,4.0,文山區指南路二段167號
周記肉粥店,3.8,萬華區廣州街104號
美麗華百樂園摩天輪,4.2,中山區敬業三路20號
CELINE TAIPEI BREEZE XIN YI,3.2,"信義區Sec68號5, Zhongxiao E. Road 1/F, Breeze Xin Yi"
南機場芋頭大王,4.0,中正區中華路二段313巷5號
Oregano奧瑞岡義式餐廳,4.5,大安區四維路96號
龍山寺,4.5,萬華區廣州街211號
大塊牛排專賣店,3.8,士林區文林路341號
家美飯店,4.0,中正區北平東路12號
沐對(MoonDay)義式小廚房-內湖聚餐推薦|慶生餐廳|cp餐廳|推薦義式餐廳|約會餐廳|必吃美食,4.6,內湖區民權東路六段296巷36號
小蔡鵝肉店,4.0,文山區木新路二段279號
大直,,
艾媽咪食品屋,4.4,內湖區瑞光路36號
咖啡弄(士林店),3.7,士林區中正路253號2樓
和怡商旅（原法皇商務飯店）,4.1,南港區重陽路122號
"香格里拉台北遠東國際大飯店 Shangri-La's Far Eastern Plaza Hotel, Taipei",4.5,大安區敦化南路二段201號
臭老闆現蒸臭豆腐-本店,4.0,萬華區中華路二段313巷6號
福容大飯店 台北一館 The Fullon Hotel Taipei Central,4.0,大安區建國南路一段266號
土三寒六讚岐烏龍麵,3.9,士林區克強路5號
薇閣精品旅館,4.2,中山區敬業三路11號
The Thali 塔哩印度料理,4.3,內湖區民權東路六段312號
金鮨日式料理,3.9,文山區指南路二段205號
欣葉日本料理-信義新天地A11店,4.1,信義區松壽路11號5樓
三味食堂,4.1,萬華區貴陽街二段116號
酸鍋子,3.6,文山區木新路三段160號
台北,,台北
呷二嘴,4.2,大同區甘州街34號
台北馥敦-復南館,4.2,大安區復興南路二段41號
7-ELEVEN 庄研門市,3.6,南港區研究院路二段152號
魔法咖哩-站前店,3.9,中正區許昌街30號2樓
picnic cafe 野餐咖啡 法式鹹派.英式司康,4.4,大安區溫州街75號
國立臺灣大學綜合體育館,4.3,大安區辛亥路二段29號
福君海悅大飯店,4.0,大同區重慶北路一段62號
天母國賓經典川粵菜,4.0,士林區中山北路六段88號B1樓
新仕商務飯店,3.9,中山區民生西路8號
咖啡弄(站前店),3.8,中正區館前路18號2樓號
燈亮有餅 - 忠誠山東葱油餅,4.3,士林區克強路3號
驥園川菜餐廳,4.2,大安區敦化南路1段324號1F
臺北市立動物園,4.5,文山區新光路二段30號
亞尼克菓子工房,4.0,內湖區瑞湖街178巷15號
咖啡園 Checkers - 凱撒大飯店,3.6,中正區忠孝西路一段38號2F
台北燦路都飯店 ホテルサンルート台北,4.1,中山區民權東路一段9號1-10F
國立歷史博物館,4.2,中正區南海路49號
7-ELEVEN 華技門市,4.0,"南港區研究院路三段72,74號"
隨意鳥地方101觀景餐廳 - 求婚 生日 尾牙 婚宴 景觀夜景 牛排餐廳 推薦,4.1,信義區信義路五段7號85F
印石時尚旅館,4.0,文山區秀明路二段15號
教父牛排 Danny's Steak House,4.1,中山區樂群三路58號
寶屋（每月第二週日及隔天連休兩天）,4.1,士林區中正路235巷6號
騷豆花創始店,4.2,大安區延吉街131巷26號
阿段烘焙,4.6,文山區開元街38號
Sheraton Grand Taipei Hotel 台北喜來登大飯店,4.3,中正區忠孝東路一段12號
Skylark洋食‧芳鄰 內湖大潤發2店,3.6,內湖區舊宗路一段188號1樓
慶熹宮,3.9,北投區振華街46號
台灣博物館,4.4,中正區襄陽路2號
大有巴士舊庄站,3.6,南港區舊莊街二段17號
La Pasta 義麵屋 內湖店,4.0,內湖區瑞光路104號
南門町三二三 - 台北市植物園,4.2,中正區和平西路二段和南海路口
圓山大飯店,4.4,中山區中山北路四段1號
福泰綠園公寓 Green Garden Apartments,4.1,松山區敦化北路199巷9號
龍都酒樓,4.2,中山區中山北路一段105巷18-1號
巧之味手工水餃 濟南店,4.3,中正區濟南路二段6號
阿財鍋貼水餃專賣店,3.7,北投區裕民一路40巷5號
沐蘭精品旅館台北館,3.9,中山區植福路299號
背包廚房手工披薩咖啡屋,4.2,中正區延平南路179巷2號
鍋饕精緻涮涮鍋,4.4,中山區大直街13號
小魏川菜餐廳,3.9,中正區公園路13號3樓
紗汀娜好食,3.9,中山區中山北路二段183巷1-5號
金泰日式料理-內湖店,4.1,內湖區舊宗路二段121巷34號
寬巷子,4.6,士林區中山北路五段505巷22號
家鄉碳烤香雞排,3.6,士林區基河路1號
台北W飯店,4.3,"10 Zhongxiao East Road Sec. 5, 信義區"
丹迪旅店-天母店,4.5,士林區中山北路六段728巷2號
藝文中心,4.0,南港區復華樓
美麗華大直影城,4.3,中山區敬業三路22號6樓
泰市場 Spice Market,4.0,信義區松高路11號6F
臺灣大學,4.6,大安區羅斯福路四段1號
實踐大學 臺北校區,4.3,中山區大直街70號
台北101觀景台,4.5,信義區信義路五段7號89樓
二子山拉麵部屋,4.0,士林區中山北路六段738號
芝玫蛋糕店,4.4,士林區德行東路89號
國立臺灣科學教育館,4.3,士林區士商路189號
台灣廣播電台放送亭,4.3,中正區
南港區農會,4.0,南港區舊莊街一段35號
中央研究院法律學研究所,4.6,"北棟9樓, 中央研究院人文社会科学馆, No. 128號, 研究院路二段, 南港区"
阿羅國際旅館,3.6,中正區忠孝西路一段50號22樓之2
三元花園韓式餐廳 瑞光店,4.4,內湖區瑞光路188巷43號1F
國立國父紀念館,4.4,信義區仁愛路四段505號
多郎明哥旅館（防疫旅館）,3.9,大安區信義路三段73號
品三仙扁食之家,5.0,文山區保儀路13巷3號73攤(木柵市場1樓)
ATT 4 FUN 信義店,4.2,信義區松壽路12號
汐止富利西餅蛋糕,4.1,汐止區宜興街14號
Amo阿默典藏蛋糕台北萬華創始店,4.4,萬華區艋舺大道184號
亞廬意大利窯烤吃到飽餐廳,4.4,大安區基隆路二段270號2樓
貳樓餐廳Second Floor Cafe 敦南店,4.2,大安區敦化南路二段63巷14號
海霸王餐廳,3.7,中山區中山北路三段59號
the Diner 樂子瑞安店,4.3,大安區瑞安街145號
Moooon River Cafe & Books,4.2,內湖區瑞光路218號
CASADELLAPASTA義麵坊,3.9,中山區北安路621巷34號
歐華酒店（The Riviera Hotel）,4.5,"No. 646, 林森北路, 中山區"
成家小館,3.9,文山區木新路三段154號
臺北市立圖書館舊莊分館,4.4,南港區舊莊街一段91巷11號2-5樓
黑橋牌食品《士林店》,4.3,士林區中正路330號
大老二美食店,3.5,松山區南京東路五段66巷5號
新東南海鮮餐廳 汀州店,4.3,中正區汀州路一段105號
魔法咖哩-內湖店,4.2,內湖區舊宗路一段150巷25號
石牌,,
Snail 蝸牛義大利餐廳 民生店,4.6,松山區民生東路四段56巷3弄10號
綠野仙蹤Wonderland cafe,4.3,北投區明德路157-1號
呼搭啦串燒屋 中午便當外送,4.4,內湖區瑞光路111號
莎諾西餐,4.4,北投區天母西路105號
丹蜜爾,3.6,南港區研究院路二段24號
享住旅店-台北火車站 Just Live Inn-Taipei station,3.9,中正區漢口街一段4號
勝博殿 站前店,4.1,中正區忠孝西路一段66號12樓
台北福華大飯店The Howard Plaza Hotel Taipei,4.2,大安區仁愛路三段160號
石二鍋_台北民權龍江店,4.0,中山區民權東路三段19號
台北國賓大飯店,4.2,中山區中山北路二段63號
好市多Costco 內湖店,4.2,內湖區舊宗路一段268號
君品酒店,4.3,大同區承德路一段3號
小公寓Apt.cafe,4.3,"2樓, No. 56號, 指南路二段, 文山區"
麻膳堂 MAZENDO 光復店,3.4,大安區光復南路280巷24號
賣麵炎仔(金泉小吃店),4.2,大同區安西街106號
21風味館 21PLUS內湖大潤發門市,3.9,內湖區舊宗路一段188號
品格子旅店北車館,3.7,"10f, No. 13號, 公園路, 中正區"
國立政治大學,4.4,文山區指南路二段64號
中央研究院地球科學研究所,4.8,南港區研究院路二段128號
有幸福Cafe,3.9,"1樓, No. 21號, 美德街, 士林區"
艋舺青山宮,4.0,萬華區貴陽街二段218號
布克湖義式坊,4.2,內湖區文德路22巷44弄10號
上海極品軒餐廳(煉珍堂),4.0,中正區衡陽路18號
洛碁大飯店新仕界New World Hotelグリーンワールド新仕界,3.5,萬華區昆明街141號
阿里郎村落,4.0,士林區福華路149號
花博公園新生園區,4.2,中山區新生北路三段105號
上引水產,4.1,中山區民族東路410巷2弄18號
動物園站,4.2,文山區新光路二段8號
中華科技大學,3.9,南港區研究院路三段245號
Arty Burger 政大店,4.0,文山區指南路二段45巷10號
維多麗亞酒店,4.2,中山區敬業四路168號
社子,,
六丁目Cafe,4.6,松山區新中街6巷7號
Woolloomooloo,3.8,松山區富錦街95號
鍋董日式涮涮鍋石牌店,4.2,北投區實踐街41號
米塔義式廚房-政大店,4.3,文山區萬壽路2號
豐盛號-士林店,3.9,士林區中正路223巷4號1樓
三腳木,2.3,新北市深坑區
木柵,,
湘鼎坊,4.1,大安區基隆路二段184巷1號
御神四季食藝料理「創意私廚」「季節無菜單料理」,4.3,文山區木柵路三段48巷1弄9號
CaLACaLA義大利廚房內湖店,4.1,內湖區陽光街240號
彭園台北館｜婚宴場地 · 尾牙春酒 · 振興券優惠 · 年菜外帶,4.0,信義區忠孝東路五段297號5樓、6樓
椒房殿麻辣鴛鴦火鍋,4.3,中山區北安路640號
永富冰淇淋,4.3,萬華區貴陽街二段68號
温德德式烘焙餐館 (天母店),4.5,士林區德行西路5號
四分里坑,,
南港山縱走親山步道中華技術學院登山口,4.4,南港區研究院路三段245號
新北,,新北
新驛旅店台北車站一館,4.3,中正區懷寧街7號
上灣仔,,
馬旦馬須美麗餐桌,4.2,松山區敦化北路165巷9號
漁僮小舖,3.9,信義區和平東路三段261號
台北昰美精品飯店 Taipei Beautique Hotel,4.1,士林區天玉街38巷14號
晶璽商旅 (防疫旅館),3.6,信義區信義路四段468號
台北星美休閒飯店,4.1,士林區前港街38-1號
林安泰古厝,4.5,中山區濱江街5號
老爺會館台北南西,4.2,中山區南京西路1號8樓
美利達,3.8,南港區研究院路二段144號
大倉久和大飯店,4.2,中山區南京東路一段9號
Royal Host 樂雅樂餐廳 - 站前店,3.6,中正區許昌街19號
彩虹橋,4.3,松山區松河街180號
台北喜來登大飯店 十二廚 Kitchen 12,3.8,中正區忠孝東路一段12號1樓
夏慕尼新香榭鐵板燒台北中山北店,4.3,中山區中山北路二段44號
OGGI 歐奇窯烤披薩 天母店,4.2,士林區德行西路19號
中央研究院歷史語言研究所研究大樓檔案館,4.3,南港區研究院路二段130號
石二鍋 台北捷運後山埤店,3.9,信義區忠孝東路五段789號
Home Hotel,4.2,信義區松仁路90號
酌屋,4.4,內湖區金湖路51號
樂客商務旅館,3.8,中正區襄陽路8號5樓
台北晶華酒店- 栢麗廳 Brasserie,4.2,中山區中山北路二段39巷3號
青年公園,4.3,萬華區水源路199號
McDonald’s 麥當勞 台北動物園三店,3.9,文山區新光路二段30號
凡登台北商務旅店,3.1,大安區忠孝東路四段197號
亞都麗緻大飯店,4.4,中山區民權東路二段41號
台北寒舍艾美酒店 Le Méridien Taipei,4.3,信義區松仁路38號
台北美侖大飯店,4.2,大安區復興南路一段317號
台北寒舍艾美酒店探索廚房,4.0,信義區松仁路38號
SKYLARK和平公園店,3.7,"1樓, No. 90號, 懷寧街, 中正區"
小龍飲食,4.1,松山區光復南路13巷31號
北港甜湯,4.3,萬華區華西街41號(第59攤位)
伊薩姆日式料理,3.9,松山區光復北路150號
中央研究院,4.5,南港區研究院路二段128號
碧湖公園,4.4,內湖區內湖路二段175號
口口香小吃店,4.1,北投區振華街10號
台灣鹽酥雞,4.1,中山區北安路530號
三德大飯店,3.8,大同區承德路三段49號
TGI FRIDAYS 星期五美式餐廳 美麗華餐廳,4.2,中山區敬業三路22號2樓
臺北松山機場,4.4,松山區敦化北路340-9號
台北花園大酒店,4.1,中正區中華路二段1號
